Episode  1000 | Avg Reward: -23.39 | Success Rate:   6.0% | Avg Final Dist: 0.184 | Avg Ep Time: 0.09s | Total Time: 1.6min
Episode  2000 | Avg Reward: -19.53 | Success Rate:   9.2% | Avg Final Dist: 0.150 | Avg Ep Time: 0.08s | Total Time: 3.0min
Episode  3000 | Avg Reward: -18.85 | Success Rate:  10.2% | Avg Final Dist: 0.143 | Avg Ep Time: 0.09s | Total Time: 4.5min
Episode  4000 | Avg Reward: -15.42 | Success Rate:  16.3% | Avg Final Dist: 0.112 | Avg Ep Time: 0.09s | Total Time: 6.0min
Episode  5000 | Avg Reward: -13.69 | Success Rate:  20.2% | Avg Final Dist: 0.100 | Avg Ep Time: 0.09s | Total Time: 7.4min
Episode  6000 | Avg Reward: -11.58 | Success Rate:  26.2% | Avg Final Dist: 0.091 | Avg Ep Time: 0.09s | Total Time: 8.9min
Episode  7000 | Avg Reward:  -9.48 | Success Rate:  29.9% | Avg Final Dist: 0.082 | Avg Ep Time: 0.08s | Total Time: 10.3min
Episode  8000 | Avg Reward:  -7.98 | Success Rate:  37.3% | Avg Final Dist: 0.075 | Avg Ep Time: 0.07s | Total Time: 11.5min
Episode  9000 | Avg Reward:  -4.49 | Success Rate:  44.2% | Avg Final Dist: 0.068 | Avg Ep Time: 0.06s | Total Time: 12.5min
Episode 10000 | Avg Reward:  -4.60 | Success Rate:  44.6% | Avg Final Dist: 0.067 | Avg Ep Time: 0.06s | Total Time: 13.5min
Episode 11000 | Avg Reward:  -3.04 | Success Rate:  52.2% | Avg Final Dist: 0.059 | Avg Ep Time: 0.06s | Total Time: 14.4min
Episode 12000 | Avg Reward:  -1.52 | Success Rate:  56.3% | Avg Final Dist: 0.057 | Avg Ep Time: 0.06s | Total Time: 15.4min
Episode 13000 | Avg Reward:   1.65 | Success Rate:  65.1% | Avg Final Dist: 0.052 | Avg Ep Time: 0.05s | Total Time: 16.2min
Episode 14000 | Avg Reward:   2.64 | Success Rate:  66.5% | Avg Final Dist: 0.051 | Avg Ep Time: 0.05s | Total Time: 17.1min
Episode 15000 | Avg Reward:   3.58 | Success Rate:  67.9% | Avg Final Dist: 0.050 | Avg Ep Time: 0.05s | Total Time: 18.0min
Episode 16000 | Avg Reward:   5.66 | Success Rate:  73.9% | Avg Final Dist: 0.046 | Avg Ep Time: 0.05s | Total Time: 18.9min
Episode 17000 | Avg Reward:   6.71 | Success Rate:  75.2% | Avg Final Dist: 0.046 | Avg Ep Time: 0.05s | Total Time: 19.7min
Episode 18000 | Avg Reward:   7.94 | Success Rate:  76.7% | Avg Final Dist: 0.045 | Avg Ep Time: 0.05s | Total Time: 20.5min
Episode 19000 | Avg Reward:   8.40 | Success Rate:  77.8% | Avg Final Dist: 0.044 | Avg Ep Time: 0.05s | Total Time: 21.3min
Episode 20000 | Avg Reward:   9.10 | Success Rate:  80.5% | Avg Final Dist: 0.043 | Avg Ep Time: 0.06s | Total Time: 22.4min
Episode 21000 | Avg Reward:  11.22 | Success Rate:  82.2% | Avg Final Dist: 0.042 | Avg Ep Time: 0.06s | Total Time: 23.4min
Episode 22000 | Avg Reward:  11.14 | Success Rate:  82.3% | Avg Final Dist: 0.042 | Avg Ep Time: 0.06s | Total Time: 24.5min
Episode 23000 | Avg Reward:  12.34 | Success Rate:  86.1% | Avg Final Dist: 0.040 | Avg Ep Time: 0.06s | Total Time: 25.5min
Episode 24000 | Avg Reward:  14.53 | Success Rate:  87.5% | Avg Final Dist: 0.039 | Avg Ep Time: 0.06s | Total Time: 26.4min
Episode 25000 | Avg Reward:  13.09 | Success Rate:  87.0% | Avg Final Dist: 0.039 | Avg Ep Time: 0.06s | Total Time: 27.4min
Episode 26000 | Avg Reward:  15.29 | Success Rate:  88.8% | Avg Final Dist: 0.039 | Avg Ep Time: 0.05s | Total Time: 28.3min
Episode 27000 | Avg Reward:  14.84 | Success Rate:  89.5% | Avg Final Dist: 0.037 | Avg Ep Time: 0.04s | Total Time: 28.9min
Episode 28000 | Avg Reward:  15.75 | Success Rate:  91.1% | Avg Final Dist: 0.038 | Avg Ep Time: 0.04s | Total Time: 29.6min
Episode 29000 | Avg Reward:  15.48 | Success Rate:  89.4% | Avg Final Dist: 0.037 | Avg Ep Time: 0.04s | Total Time: 30.3min
Episode 30000 | Avg Reward:  16.34 | Success Rate:  90.3% | Avg Final Dist: 0.037 | Avg Ep Time: 0.04s | Total Time: 30.9min
Episode 31000 | Avg Reward:  16.93 | Success Rate:  91.7% | Avg Final Dist: 0.037 | Avg Ep Time: 0.04s | Total Time: 31.6min
Episode 32000 | Avg Reward:  17.46 | Success Rate:  92.3% | Avg Final Dist: 0.036 | Avg Ep Time: 0.04s | Total Time: 32.2min
Episode 33000 | Avg Reward:  18.27 | Success Rate:  91.5% | Avg Final Dist: 0.037 | Avg Ep Time: 0.04s | Total Time: 32.8min
Episode 34000 | Avg Reward:  17.93 | Success Rate:  93.8% | Avg Final Dist: 0.035 | Avg Ep Time: 0.04s | Total Time: 33.4min
Episode 35000 | Avg Reward:  18.23 | Success Rate:  92.7% | Avg Final Dist: 0.036 | Avg Ep Time: 0.04s | Total Time: 34.1min
Episode 36000 | Avg Reward:  18.95 | Success Rate:  94.1% | Avg Final Dist: 0.035 | Avg Ep Time: 0.04s | Total Time: 34.7min
Episode 37000 | Avg Reward:  17.73 | Success Rate:  90.5% | Avg Final Dist: 0.037 | Avg Ep Time: 0.04s | Total Time: 35.3min
Episode 38000 | Avg Reward:  20.11 | Success Rate:  95.0% | Avg Final Dist: 0.035 | Avg Ep Time: 0.03s | Total Time: 35.9min
