Episode 100 | Avg Reward: -26.25 | Success:   3.0% | Avg Final Dist: 0.222 | Critic Loss: 1.4059 | Actor Loss: 1.6570 | Avg Ep Time: 0.31s | Total Time: 0.5min
Episode 200 | Avg Reward:   1.40 | Success:  38.0% | Avg Final Dist: 0.082 | Critic Loss: 10.2207 | Actor Loss: -5.4322 | Avg Ep Time: 0.54s | Total Time: 1.4min
Episode 300 | Avg Reward:   8.49 | Success:  47.0% | Avg Final Dist: 0.071 | Critic Loss: 15.9810 | Actor Loss: -19.7555 | Avg Ep Time: 0.62s | Total Time: 2.4min
Episode 400 | Avg Reward:  11.24 | Success:  54.0% | Avg Final Dist: 0.074 | Critic Loss: 22.4085 | Actor Loss: -23.2229 | Avg Ep Time: 0.61s | Total Time: 3.5min
Episode 500 | Avg Reward:  12.94 | Success:  55.0% | Avg Final Dist: 0.065 | Critic Loss: 25.3346 | Actor Loss: -24.5204 | Avg Ep Time: 0.61s | Total Time: 4.5min
Episode 600 | Avg Reward:   8.63 | Success:  49.0% | Avg Final Dist: 0.068 | Critic Loss: 22.3558 | Actor Loss: -21.8000 | Avg Ep Time: 0.62s | Total Time: 5.5min
Episode 700 | Avg Reward:  10.73 | Success:  55.0% | Avg Final Dist: 0.064 | Critic Loss: 20.9334 | Actor Loss: -20.2820 | Avg Ep Time: 0.60s | Total Time: 6.5min
Episode 800 | Avg Reward:  23.64 | Success:  78.0% | Avg Final Dist: 0.051 | Critic Loss: 25.0136 | Actor Loss: -20.8043 | Avg Ep Time: 0.60s | Total Time: 7.5min
Episode 900 | Avg Reward:  31.79 | Success:  86.0% | Avg Final Dist: 0.047 | Critic Loss: 27.3996 | Actor Loss: -25.7260 | Avg Ep Time: 0.61s | Total Time: 8.5min
Episode 1000 | Avg Reward:  27.17 | Success:  79.0% | Avg Final Dist: 0.050 | Critic Loss: 28.1720 | Actor Loss: -28.6497 | Avg Ep Time: 0.62s | Total Time: 9.6min
Episode 1100 | Avg Reward:  33.78 | Success:  92.0% | Avg Final Dist: 0.043 | Critic Loss: 30.6344 | Actor Loss: -30.7858 | Avg Ep Time: 0.62s | Total Time: 10.6min
Episode 1200 | Avg Reward:  34.63 | Success:  92.0% | Avg Final Dist: 0.042 | Critic Loss: 31.3206 | Actor Loss: -31.7035 | Avg Ep Time: 0.64s | Total Time: 11.7min
Episode 1300 | Avg Reward:  38.07 | Success:  97.0% | Avg Final Dist: 0.040 | Critic Loss: 30.0721 | Actor Loss: -31.7960 | Avg Ep Time: 0.37s | Total Time: 12.3min
Episode 1400 | Avg Reward:  37.30 | Success:  98.0% | Avg Final Dist: 0.040 | Critic Loss: 28.6654 | Actor Loss: -32.5948 | Avg Ep Time: 0.37s | Total Time: 12.9min
Episode 1500 | Avg Reward:  37.28 | Success:  97.0% | Avg Final Dist: 0.039 | Critic Loss: 30.0302 | Actor Loss: -32.1468 | Avg Ep Time: 0.44s | Total Time: 13.6min
Episode 1600 | Avg Reward:  38.94 | Success:  97.0% | Avg Final Dist: 0.040 | Critic Loss: 27.5383 | Actor Loss: -32.1547 | Avg Ep Time: 0.73s | Total Time: 14.9min
Episode 1700 | Avg Reward:  38.23 | Success:  95.0% | Avg Final Dist: 0.039 | Critic Loss: 32.3598 | Actor Loss: -32.7497 | Avg Ep Time: 0.76s | Total Time: 16.1min
Episode 1800 | Avg Reward:  41.17 | Success:  98.0% | Avg Final Dist: 0.039 | Critic Loss: 32.6095 | Actor Loss: -33.1590 | Avg Ep Time: 0.78s | Total Time: 17.4min
